B1101	SRSCM Input Voltage High
U1500	DIS Wakeup Line Short Circuit To Ground
U1501	DIS Wakeup Line Short Circuit To Vcc
U1540	DIS Wakeup Line Test Failed at Amplifier Unit
U1601	DIS AMP Unit Data Upgrade Error - Application Software Code 1 Missing or Corrupted
U1602	DIS AMP Unit Data Upgrade Error - Application Software Code 2 Missing or Corrupted
U1606	DIS AMP Unit Data Upgrade Error - Application Software Data Missing or Corrupted
U1700	DIS AMP Unit DTCP Sink SW error.
U1702	DIS AMP Unit DTCP Sink Decode error
U1710	DIS AMP Unit Amplifier stage group 1 Error - S/Woofer 1(+), 1(- ) short circuit
U1711	DIS AMP Unit Amplifier stage group 2 Error - S/Woofer 2(+), 2(- ) short circuit
U1712	DIS AMP Unit Amplifier stage group 3 Error - Front Middle/Tweeter LH & RH short circuit
U1713	DIS AMP Unit Amplifier stage group 4 Error - DECK LH, DECK RH, Center Speaker short circuit
U1714	DIS AMP Unit Amplifier stage group 5 Error - Front LH & RH short circuit
U1900	DIS GPS Antenna Line Break
U1920	DIS DVD Drive Error
U1940	DIS Front Display SDC Communication Error
U1941	DIS AMP Unit AmFm Antenna circuit Open ( not connected )
U1942	DIS AMP Unit Fm2 Antenna circuit Low
U1943	DIS AMP Unit Fm2 Antenna circuit Open
U1944	DIS AMP Unit XM Antenna circuit Low (UTA US only)
U1945	DIS AMP Unit XM Antenna circuit Open (UTA US only)
U1970	DIS Multimedia CAN Bus Off Error
U1971	DIS Multimedia CAN Single Line Error
U1972	Multimedia CAN Limp Home Status
U1980	DIS Timeout Multimedia CAN Message(Air Conditioner, Cluster, Audio)
U1981	DIS Timeout Multimedia CAN Message(Vehicle Speed)
U1982	DIS Timeout Multimedia CAN Message(Body CAN Signal - Camera, ECS, Trip Computer, Alternator, Auto Light)
U1983	DIS Timeout Multimedia CAN Message (Trip Computer)
U1984	DIS Timeout Multimedia CAN Message(Inhibitor Signal)
